Name,Expansion,Action,Attack,Curse,Duration,Reaction,Treasure,Victory,Cost,Pot,Action,Buy,Card,Coin,VP,Text
Chapel,Dominion,1,,,,,,,2,,,,,,,Trash up to 4 cards from your hand.
Moat,Dominion,1,,,,1,,,2,,,,2,,,"When another player plays an Attack card, you may reveal this from your hand. If you do, you are unaffected by that Attack."
Harbinger,Dominion,1,,,,,,,3,,,,,,,
Vassal,Dominion,1,,,,,,,3,,,,,,,
Village,Dominion,1,,,,,,,3,,2,,1,,,
Moneylender,Dominion,1,,,,,,,4,,,,,,,"Trash a Copper card from your hand. If you do, +3 Coins."
Smithy,Dominion,1,,,,,,,4,,,,3,,,
Council Room,Dominion,1,,,,,,,5,,,1,4,,,Each other player draws a card.
Festival,Dominion,1,,,,,,,5,,2,1,,2,,
Laboratory,Dominion,1,,,,,,,5,,1,,2,,,
Market,Dominion,1,,,,,,,5,,1,1,1,1,,
Witch,Dominion,1,1,,,,,,5,,,,2,,,Each other player gains a Curse card.
Copper,Dominion,,,,,,1,,0,,,,,1,,
Silver,Dominion,,,,,,1,,3,,,,,2,,
Gold,Dominion,,,,,,1,,6,,,,,3,,
Curse,Dominion,,,1,,,,,0,,,,,,-1,
Estate,Dominion,,,,,,,1,2,,,,,,1,
Duchy,Dominion,,,,,,,1,5,,,,,,3,
Province,Dominion,,,,,,,1,8,,,,,,6,
